"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1964552845929382300","Sun Sep 07 04:54:32 +0000 2025","45","Nyerap ilmu dan pengalaman hidup dari mertua. Pekerja corporate yang juga punya beberapa bidang usaha. Pendidikan formal cuma sampe SMP. Tapi kaya ilmu yang mayoritas didapatkan di lapangan. Jarang bisa duduk ngobrol karna Beliau base-nya di Kalimantan. Pulang ke rumah beberapa https://t.co/oXHeEWjARB","1964552845929382300","https://pbs.twimg.com/media/G0N-ZqTbgAAE3uD.jpg","","in","","0","3","2","https://x.com/undefined/status/1964552845929382300","3168152976",
"1966150288567578666","Thu Sep 11 14:42:12 +0000 2025","10","MALANG Dinas Pendidikan dan Kebudayaan (Disdikbud) Kota Malang bakal mengajukan anggara sekitar Rp5 miliar untuk tambahan program seragam gratis dan sepatu gratis bagi siswa SD dan SMP di tahun 2026 mendatang. Untuk program seragam gratis Disdikbud Kota Malang memastikan https://t.co/GZWe811JNF","1966150288567578666","https://pbs.twimg.com/amplify_video_thumb/1966150165976485888/img/FE0ZpGjMQlV7Uh9f.jpg","","in","","1","4","5","https://x.com/undefined/status/1966150288567578666","1068381082381299713",
"1963969155557625890","Fri Sep 05 14:15:10 +0000 2025","794","gimana caranya nemuin first job ini ya? aku baru lulus mau switch dari pendidikan. ga punya pengalaman yg berarti karena pas kuliah ga aktif susah ya work!","1963969155557625890","","","in","","11","51","49","https://x.com/undefined/status/1963969155557625890","1244597361826885636",
"1965740382597345738","Wed Sep 10 11:33:23 +0000 2025","65","Saya telah mengajukan soalan di Parlimen kepada Menteri Pendidikan sama ada satu peperiksaan umum yang sama boleh dilaksanakan untuk pelajar STPM Matrikulasi dan Asasi bagi memohon IPTA? https://t.co/XaaKIWidzX","1965740382597345738","https://pbs.twimg.com/media/G0e2dLSbAAATHFz.jpg","","in","","6","11","13","https://x.com/undefined/status/1965740382597345738","130085524",
"1964195166052634736","Sat Sep 06 05:13:15 +0000 2025","19","Tuntutan pribadi tanpa neko-neko. 1. Turunkan gaji DPR/DPRD sampe max 3x UMR. Alokasikan dana buat pemerataan pendidikan termasuk kenaikan gaji guru. 2. Stop MBG. Alokasikan dana buat revitalisasi faskes dan tunjangan kesehatan yang lebih seamless dari BPJS. 3. Adili Onana.","1964195166052634736","","","in","","2","2","22","https://x.com/undefined/status/1964195166052634736","297832764",
"1964675255810900448","Sun Sep 07 13:00:57 +0000 2025","138","I FINALLY FOUND: brand yang produknya BAGUS dan AWARE sama isu kemanusiaan pendidikan lingkungan (mostly masih underrated and DESERVE MORE HYPE) https://t.co/fEvTs8NBtF","1964675255810900448","https://pbs.twimg.com/media/G0PtuPXWAAEH1a6.jpg","","in","","24","16","120","https://x.com/undefined/status/1964675255810900448","1630819004788129792",
"1963922590407295035","Fri Sep 05 11:10:08 +0000 2025","6287"," Guys kalau aku planning pendidikan anak buat SD di SDIT SMP di BPK Penabur SMA di MAN IC terlalu berlebihan nggak ya? Ibunya masih po","1963922590407295035","","","in","","231","385","195","https://x.com/undefined/status/1963922590407295035","1331650559518990336",
"1965697462531981768","Wed Sep 10 08:42:50 +0000 2025","446","mau sharing matcha favorite aku di rumah sekalian kasih resep cara bikinnya &lt;3 https://t.co/d61diWwQvN","1965697462531981768","https://pbs.twimg.com/media/G0eParvakAAICrw.jpg","","in","","4","21","175","https://x.com/undefined/status/1965697462531981768","982142410401574914",
"1964915118166483129","Mon Sep 08 04:54:05 +0000 2025","144","yang orang nampak : kau untung lah duduk dengan mak ayah rumah tak payah bayar makan minum dah siap duit tak banyak habis yang orang tak nampak : selalu dibanding2 kan dengan adik beradik lain. emosi tak stabil. buat mereka yang stay dengan mak ayah and niat nak jaga https://t.co/kX3blf39i9","1964915118166483129","https://pbs.twimg.com/amplify_video_thumb/1964915052055814145/img/3jnyRTiHzKp8LR5v.jpg","","in","","4","3","71","https://x.com/undefined/status/1964915118166483129","1261456139037753345",
"1965977393497313623","Thu Sep 11 03:15:11 +0000 2025","177","Al-Quran dan solat nafas bagi rumah. | Ustaz Wadi Annuar #ustazwadiannuar #sunnah #hadis https://t.co/U4zBItvl2K","1965977393497313623","https://pbs.twimg.com/media/G0iOA-yaMAEF5v6.jpg","","in","","1","1","69","https://x.com/undefined/status/1965977393497313623","1373811273012441095",
