conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,cleaned_text,tokenized_text,lemmatized_text,stemmed_text
1965625129578447246,Wed Sep 10 03:55:25 +0000 2025,63,BERSAMA MALAYSIAKU 🇲🇾 Akses Kesihatan Dipertingkat untuk Rakyat Langkah proaktif dalam memperkukuh sistem kesihatan negara: Maklumat Penting: ▪️ ‍️ Sebanyak 4 352 perjawatan baharu akan diwujudkan - https://t.co/YeDR7iF7gq,1965625129578447246,https://pbs.twimg.com/media/G0dNjE_bAAAa3od.jpg,,in,,3,1,58,https://x.com/undefined/status/1965625129578447246,114914506,,bersama malaysiaku akses kesihatan dipertingkat untuk rakyat langkah proaktif dalam memperkukuh sistem kesihatan negara maklumat penting sebanyak perjawatan baharu akan diwujudkan,"['bersama', 'malaysiaku', 'akses', 'kesihatan', 'dipertingkat', 'untuk', 'rakyat', 'langkah', 'proaktif', 'dalam', 'memperkukuh', 'sistem', 'kesihatan', 'negara', 'maklumat', 'penting', 'sebanyak', 'perjawatan', 'baharu', 'akan', 'diwujudkan']",bersama malaysiaku akses kesihatan dipertingkat untuk rakyat langkah proaktif dalam memperkukuh sistem kesihatan negara maklumat penting sebanyak perjawatan baharu akan diwujudkan,sama malaysiaku akses kesihatan tingkat untuk rakyat langkah proaktif dalam kukuh sistem kesihatan negara maklumat penting banyak jawat baharu akan wujud
1965581536276992152,Wed Sep 10 01:02:11 +0000 2025,517,Hanya karena Budi Arie dipecat dari Kabinet Relawan Jokowi ini menyerang Presiden Prabowo &amp; menuduh Prabowo membenci Jokowi. Susah kalau sdah orang sakau dgn kekuasaan. Overdosis jabatan. Tidak terima kenyataan bahwa Presiden saat ini itu Prabowo bukan lg Jokowi https://t.co/7lj8To68Jp,1965581536276992152,https://pbs.twimg.com/ext_tw_video_thumb/1965581128510930944/pu/img/t2beCl4qk9KUiV0X.jpg,,in,,34,190,163,https://x.com/undefined/status/1965581536276992152,45602536,,hanya karena budi arie dipecat dari kabinet relawan jokowi ini menyerang presiden prabowo amp menuduh prabowo membenci jokowi susah kalau sdah orang sakau dgn kekuasaan overdosis jabatan tidak terima kenyataan bahwa presiden saat ini itu prabowo bukan lg jokowi,"['hanya', 'karena', 'budi', 'arie', 'dipecat', 'dari', 'kabinet', 'relawan', 'jokowi', 'ini', 'menyerang', 'presiden', 'prabowo', 'amp', 'menuduh', 'prabowo', 'membenci', 'jokowi', 'susah', 'kalau', 'sdah', 'orang', 'sakau', 'dgn', 'kekuasaan', 'overdosis', 'jabatan', 'tidak', 'terima', 'kenyataan', 'bahwa', 'presiden', 'saat', 'ini', 'itu', 'prabowo', 'bukan', 'lg', 'jokowi']",hanya karena budi arie dipecat dari kabinet relawan jokowi ini menyerang presiden prabowo amp menuduh prabowo membenci jokowi susah kalau sdah orang sakau dgn kekuasaan overdosis jabatan tidak terima kenyataan bahwa presiden saat ini itu prabowo bukan lg jokowi,hanya karena budi arie pecat dari kabinet rawan jokowi ini serang presiden prabowo amp tuduh prabowo benci jokowi susah kalau sdah orang sakau dgn kuasa overdosis jabat tidak terima nyata bahwa presiden saat ini itu prabowo bukan lg jokowi
1964916611254538573,Mon Sep 08 05:00:01 +0000 2025,238,Gimana menurut kalian soal dua perbandingan dua menteri keuangan dengan total masa jabatan terlama ini? #aliwardhana #srimulyani #menkeu #pajak #utang #infografis #politikindonesia #beritapolitik #pinterpolitik https://t.co/yxka4h8Cm4,1964916611254538573,https://pbs.twimg.com/media/G0S3tyVXsAASfEc.jpg,,in,,3,26,54,https://x.com/undefined/status/1964916611254538573,798770586784702464,,gimana menurut kalian soal dua perbandingan dua menteri keuangan dengan total masa jabatan terlama ini,"['gimana', 'menurut', 'kalian', 'soal', 'dua', 'perbandingan', 'dua', 'menteri', 'keuangan', 'dengan', 'total', 'masa', 'jabatan', 'terlama', 'ini']",gimana menurut kalian soal dua perbandingan dua menteri keuangan dengan total masa jabatan terlama ini,gimana turut kalian soal dua banding dua menteri uang dengan total masa jabat lama ini
1966302274969546975,Fri Sep 12 00:46:09 +0000 2025,18,HKHM 2025 | Zus Coffee Rasa Yang Menyatukan 🇲🇾 https://t.co/MTa86cJQ6U #1R1JG #HKHM2025 #MalaysiaMADANI #RakyatDisantuni #TaatSetia #JabatanPenerangan https://t.co/H5xQsi02g0,1966302274969546975,https://pbs.twimg.com/media/G0m1f7TaEAAt0Pq.jpg,,in,,3,0,15,https://x.com/undefined/status/1966302274969546975,114914506,,hkhm zus coffee rasa yang menyatukan,"['hkhm', 'zu', 'coffee', 'rasa', 'yang', 'menyatukan']",hkhm zu coffee rasa yang menyatukan,hkhm zus coffee rasa yang satu
1965334212799836182,Tue Sep 09 08:39:25 +0000 2025,513,️Taufik Hidayat dianggap lebih pas jadi Menpora ketimbang Raffi Ahmad️ Kosongnya jabatan Menteri Pemuda dan Olah Raga (Menpora) sejak reshuffle Kabinet Merah Putih dilakukan Presiden Prabowo Subianto membuat warganet bertanya siapa sosok yang pas. Nama Raffi Ahmad Putri https://t.co/LImCMyunr0,1965334212799836182,https://pbs.twimg.com/media/G0ZEcbRaUAAt5Gy.jpg,,in,,13,82,75,https://x.com/undefined/status/1965334212799836182,786549338818224128,,taufik hidayat dianggap lebih pas jadi menpora ketimbang raffi ahmad kosongnya jabatan menteri pemuda dan olah raga menpora sejak reshuffle kabinet merah putih dilakukan presiden prabowo subianto membuat warganet bertanya siapa sosok yang pas nama raffi ahmad putri,"['taufik', 'hidayat', 'dianggap', 'lebih', 'pa', 'jadi', 'menpora', 'ketimbang', 'raffi', 'ahmad', 'kosongnya', 'jabatan', 'menteri', 'pemuda', 'dan', 'olah', 'raga', 'menpora', 'sejak', 'reshuffle', 'kabinet', 'merah', 'putih', 'dilakukan', 'presiden', 'prabowo', 'subianto', 'membuat', 'warganet', 'bertanya', 'siapa', 'sosok', 'yang', 'pa', 'nama', 'raffi', 'ahmad', 'putri']",taufik hidayat dianggap lebih pa jadi menpora ketimbang raffi ahmad kosongnya jabatan menteri pemuda dan olah raga menpora sejak reshuffle kabinet merah putih dilakukan presiden prabowo subianto membuat warganet bertanya siapa sosok yang pa nama raffi ahmad putri,taufik hidayat anggap lebih pas jadi menpora ketimbang raffi ahmad kosong jabat menteri pemuda dan olah raga menpora sejak reshuffle kabinet merah putih laku presiden prabowo subianto buat warganet tanya siapa sosok yang pas nama raffi ahmad putri
1966001781772832841,Thu Sep 11 04:52:05 +0000 2025,75, DEEP mula dilaksana awal tahun ini untuk nilai prestasi KSU setiap kementerian. Hasil awal tunjuk prestasi kementerian semakin baik. Peningkatan utama: Kewangan lebih realistik. ️ Projek dipantau rapi. ️ Integriti &amp; akauntabiliti kukuh. - https://t.co/coEyxpNy9c,1966001781772832841,https://pbs.twimg.com/media/G0ikM53aMAEQ6NU.jpg,,in,,4,1,66,https://x.com/undefined/status/1966001781772832841,114914506,,deep mula dilaksana awal tahun ini untuk nilai prestasi ksu setiap kementerian hasil awal tunjuk prestasi kementerian semakin baik peningkatan utama kewangan lebih realistik projek dipantau rapi integriti amp akauntabiliti kukuh,"['deep', 'mula', 'dilaksana', 'awal', 'tahun', 'ini', 'untuk', 'nilai', 'prestasi', 'ksu', 'setiap', 'kementerian', 'hasil', 'awal', 'tunjuk', 'prestasi', 'kementerian', 'semakin', 'baik', 'peningkatan', 'utama', 'kewangan', 'lebih', 'realistik', 'projek', 'dipantau', 'rapi', 'integriti', 'amp', 'akauntabiliti', 'kukuh']",deep mula dilaksana awal tahun ini untuk nilai prestasi ksu setiap kementerian hasil awal tunjuk prestasi kementerian semakin baik peningkatan utama kewangan lebih realistik projek dipantau rapi integriti amp akauntabiliti kukuh,deep mula laksana awal tahun ini untuk nilai prestasi ksu tiap menteri hasil awal tunjuk prestasi menteri makin baik tingkat utama wang lebih realistik projek pantau rapi integriti amp akauntabiliti kukuh
1965625186872689149,Wed Sep 10 03:55:38 +0000 2025,69, Terlalu Indah Untuk Jadi Nyata? Berhati-hati! Jika sesuatu tawaran kedengaran terlalu mudah dengan pulangan luar biasa ia mungkin perangkap! Jangan mudah terpedaya fikir dulu sebelum buat keputusan. #RancakkanMADANI #MADANIBekerja #TaatSetia #JabatanPenerangan https://t.co/r6OlQvKuzo,1965625186872689149,https://pbs.twimg.com/media/G0dNrzca4AAuKPX.jpg,,in,,4,0,58,https://x.com/undefined/status/1965625186872689149,114914506,,terlalu indah untuk jadi nyata berhatihati jika sesuatu tawaran kedengaran terlalu mudah dengan pulangan luar biasa ia mungkin perangkap jangan mudah terpedaya fikir dulu sebelum buat keputusan,"['terlalu', 'indah', 'untuk', 'jadi', 'nyata', 'berhatihati', 'jika', 'sesuatu', 'tawaran', 'kedengaran', 'terlalu', 'mudah', 'dengan', 'pulangan', 'luar', 'biasa', 'ia', 'mungkin', 'perangkap', 'jangan', 'mudah', 'terpedaya', 'fikir', 'dulu', 'sebelum', 'buat', 'keputusan']",terlalu indah untuk jadi nyata berhatihati jika sesuatu tawaran kedengaran terlalu mudah dengan pulangan luar biasa ia mungkin perangkap jangan mudah terpedaya fikir dulu sebelum buat keputusan,terlalu indah untuk jadi nyata berhatihati jika sesuatu tawar dengar terlalu mudah dengan pulang luar biasa ia mungkin perangkap jangan mudah daya fikir dulu belum buat putus
1965373610866212997,Tue Sep 09 11:15:58 +0000 2025,91, INKUES ZARA QAIRINA ️ Tiada kesan penderaan ditemui. Seorang pegawai perubatan Jabatan Kecemasan &amp; Trauma HQE Dr Janefer Voo beri keterangan di Mahkamah Koroner. #RancakkanMADANI #MADANIBekerja #TaatSetia #JabatanPenerangan https://t.co/oEDBYrXE5N,1965373610866212997,https://pbs.twimg.com/media/G0Zo4i_bEAApmXx.jpg,,in,,7,0,63,https://x.com/undefined/status/1965373610866212997,114914506,,inkues zara qairina tiada kesan penderaan ditemui seorang pegawai perubatan jabatan kecemasan amp trauma hqe dr janefer voo beri keterangan di mahkamah koroner,"['inkues', 'zara', 'qairina', 'tiada', 'kesan', 'penderaan', 'ditemui', 'seorang', 'pegawai', 'perubatan', 'jabatan', 'kecemasan', 'amp', 'trauma', 'hqe', 'dr', 'janefer', 'voo', 'beri', 'keterangan', 'di', 'mahkamah', 'koroner']",inkues zara qairina tiada kesan penderaan ditemui seorang pegawai perubatan jabatan kecemasan amp trauma hqe dr janefer voo beri keterangan di mahkamah koroner,inkues zara qairina tiada kesan dera temu orang pegawai ubat jabat cemas amp trauma hqe dr janefer voo beri terang di mahkamah koroner
1964236748890001896,Sat Sep 06 07:58:29 +0000 2025,243,Di tengah jargon efisiensi yang terus digembar-gemborkan rezim Prabowo justru memperlihatkan hal sebaliknya: kabinet yang membengkak belasan kementerian baru dan puluhan jabatan wakil menteri ditambahkan seolah-olah tanpa kendali. https://t.co/Acfcv6Dmmy,1964236748890001896,https://pbs.twimg.com/media/G0Je3qlbsAAa1dS.jpg,,in,,1,6,166,https://x.com/undefined/status/1964236748890001896,280942957,,di tengah jargon efisiensi yang terus digembargemborkan rezim prabowo justru memperlihatkan hal sebaliknya kabinet yang membengkak belasan kementerian baru dan puluhan jabatan wakil menteri ditambahkan seolaholah tanpa kendali,"['di', 'tengah', 'jargon', 'efisiensi', 'yang', 'terus', 'digembargemborkan', 'rezim', 'prabowo', 'justru', 'memperlihatkan', 'hal', 'sebaliknya', 'kabinet', 'yang', 'membengkak', 'belasan', 'kementerian', 'baru', 'dan', 'puluhan', 'jabatan', 'wakil', 'menteri', 'ditambahkan', 'seolaholah', 'tanpa', 'kendali']",di tengah jargon efisiensi yang terus digembargemborkan rezim prabowo justru memperlihatkan hal sebaliknya kabinet yang membengkak belasan kementerian baru dan puluhan jabatan wakil menteri ditambahkan seolaholah tanpa kendali,di tengah jargon efisiensi yang terus digembargemborkan rezim prabowo justru lihat hal balik kabinet yang bengkak bas menteri baru dan puluh jabat wakil menteri tambah seolaholah tanpa kendali
1966322754678042690,Fri Sep 12 02:07:31 +0000 2025,4,️ AMARAN ANGIN KENCANG DAN LAUT BERGELORA ️ #amaranlautmetmalaysia #metmalaysia #NRES #MalaysiaMADANI https://t.co/VO08kQFJ8j,1966322754678042690,https://pbs.twimg.com/media/G0nIEpYasAA54pp.jpg,,in,,0,0,5,https://x.com/undefined/status/1966322754678042690,252829706,,amaran angin kencang dan laut bergelora,"['amaran', 'angin', 'kencang', 'dan', 'laut', 'bergelora']",amaran angin kencang dan laut bergelora,amar angin kencang dan laut gelora
